bank,appId,review_id,username,user_image,likes,review_created_version,created_at,reply_content,replied_at,app_version,score,comments,keywords,lda_category,sentiment,insight
Abyssinia Bank,com.boa.boaMobileBanking,54117634-2cbb-45b2-a017-b6dac4d6147c,Solomon Alie,https://play-lh.googleusercontent.com/a/ACg8ocIdxEggnrdo0H37uh1V7viPbgUWbU-bh-yAIgY16Wzmk6MWTA=mo,0,,2024-05-09 09:42:00,,,,5,Good,,,,
Abyssinia Bank,com.boa.boaMobileBanking,37729110-67fc-4098-84cd-7c98de7010b8,Samuel Desalegn,https://play-lh.googleusercontent.com/a/ACg8ocIAvaCgobIEBdQBWFi8WkN4oXQFZFg_QE4XWwkMfDRcCgk-yQ=mo,0,,2024-05-08 14:15:49,,,,4,Very good app,,,,
Abyssinia Bank,com.boa.boaMobileBanking,362361bd-829e-4941-997d-3a263fcd204e,AT11,https://play-lh.googleusercontent.com/a/ACg8ocI0I1ppr4_rvIXA2zMxG6vnC3Nja0QDqiIvjNVu_k2IpZo8PQ=mo,2,24.04.23,2024-05-07 19:19:04,,,24.04.23,1,It does not work,,,,
Abyssinia Bank,com.boa.boaMobileBanking,1820af40-c9d1-4086-8c88-30f94bcc7be8,lumionTech TedyB,https://play-lh.googleusercontent.com/a-/ALV-UjWBv1S1qj9ShC7gussRURdDj2JqkCcOvGmvdOXd4_macLW62Poa,0,,2024-05-07 14:34:43,,,,5,🤝,,,,
Abyssinia Bank,com.boa.boaMobileBanking,ee3e581c-468b-43ef-8880-13ff94ff4b9b,Kadiir Alamuu,https://play-lh.googleusercontent.com/a-/ALV-UjVUlJ2NY7Wvo0V1UqcOA8meDhw2dAETQzSe04WYm6WXl6is1v8,3,,2024-05-06 00:53:18,,,,5,Best app,,,,
Abyssinia Bank,com.boa.boaMobileBanking,c67e9375-39cb-4031-8baa-f31b9e704f2d,Abel Ayalew,https://play-lh.googleusercontent.com/a-/ALV-UjXARGuTS2c6cWYKAbPfBe5tmWNkuzwfe1gHM74LTPTOAKLv56Q,1,24.04.23,2024-05-05 19:34:59,,,24.04.23,5,ምርጥ አፕ ነው ሞክሩት እና ጥቅሙን ታያላቹ,,,,
Abyssinia Bank,com.boa.boaMobileBanking,829a6024-8c66-4671-a3e4-e576196665f0,Dr Yared Denekew,https://play-lh.googleusercontent.com/a-/ALV-UjUDAH1hXrj4oMs6muNlugIT0V0EggDZxc2FNwHIPDNlWmutHNYs,0,24.04.23,2024-05-05 14:23:59,,,24.04.23,5,Excellent,,,,
Abyssinia Bank,com.boa.boaMobileBanking,fbfa84af-6f42-479e-8537-fc0be5b96692,Bereket Tena,https://play-lh.googleusercontent.com/a-/ALV-UjWbzD5wtTiMRz9jFNbKoqIMgu3XPE7Zwowe4b7R15yxdMirdzpl,5,24.04.23,2024-05-04 17:30:30,,,24.04.23,4,Excellent app! And Easiest to use.,,,,
Abyssinia Bank,com.boa.boaMobileBanking,747a3a54-a35a-49c6-a336-3015603ceae7,Tigist,https://play-lh.googleusercontent.com/a/ACg8ocItq3fyQPq7h3Ub8BC-UBB339zd_c2KHfGv0HEGUr-OT8MA4A=mo,0,24.04.23,2024-05-02 20:53:49,,,24.04.23,5,Nice app,,,,
Abyssinia Bank,com.boa.boaMobileBanking,9f73b8e4-db1b-4ccb-9648-fc28edda4314,Abdilrazak Edires,https://play-lh.googleusercontent.com/a/ACg8ocItmQ0IyyU85tPbKGjgvCXeF6U_Bs8UD2w3CfIxeGc4-aMjBQ=mo,0,24.04.23,2024-05-02 18:58:27,,,24.04.23,2,Best apq,,,,
